date,BTC,Gold
2016-01-11,448.42800903,1096.50000000
2016-01-12,435.69000244,1085.59997559
2016-01-13,432.37100220,1087.50000000
2016-01-14,430.30599976,1073.90002441
2016-01-15,364.33099365,1091.50000000
2016-01-16,387.53601074,
2016-01-17,382.29901123,
2016-01-18,387.16799927,
2016-01-19,380.14898682,1089.90002441
2016-01-20,420.23001099,1107.09997559
2016-01-21,410.26199341,1099.09997559
2016-01-22,382.49200439,1097.19995117
2016-01-23,387.49099731,
2016-01-24,402.97100830,
2016-01-25,391.72601318,1106.19995117
2016-01-26,392.15301514,1121.69995117
2016-01-27,394.97198486,1116.09997559
2016-01-28,380.28900146,1115.59997559
2016-01-29,379.47399902,1116.40002441
2016-01-30,378.25500488,
2016-01-31,368.76699829,
2016-02-01,373.05599976,1127.90002441
2016-02-02,374.44799805,1127.30004883
2016-02-03,369.94900513,1141.30004883
2016-02-04,389.59399414,1157.59997559
2016-02-05,386.54901123,1157.80004883
2016-02-06,376.52200317,
2016-02-07,376.61999512,
2016-02-08,373.44699097,1197.90002441
2016-02-09,376.02899170,1198.69995117
2016-02-10,381.64898682,1194.69995117
2016-02-11,379.65399170,1247.90002441
2016-02-12,384.26300049,1239.09997559
2016-02-13,391.85998535,
2016-02-14,407.23001099,
2016-02-15,400.18499756,
2016-02-16,407.48800659,1207.90002441
2016-02-17,416.32199097,1211.09997559
2016-02-18,422.37298584,1226.09997559
2016-02-19,420.78500366,1230.40002441
2016-02-20,437.16400146,
2016-02-21,438.79800415,
2016-02-22,437.74798584,1209.50000000
2016-02-23,420.73599243,1222.30004883
2016-02-24,424.95498657,1238.69995117
2016-02-25,424.54400635,1238.19995117
2016-02-26,432.15200806,1219.80004883
2016-02-27,432.51901245,
2016-02-28,433.50399780,
2016-02-29,437.69699097,1233.90002441
2016-03-01,435.12298584,1230.30004883
2016-03-02,423.98901367,1241.09997559
2016-03-03,421.65100098,1257.40002441
2016-03-04,410.93899536,1269.90002441
2016-03-05,400.57000732,
2016-03-06,407.70700073,
2016-03-07,414.32101440,1263.19995117
2016-03-08,413.97198486,1262.09997559
2016-03-09,414.85998535,1256.59997559
2016-03-10,417.13101196,1272.00000000
2016-03-11,421.69000244,1258.69995117
2016-03-12,411.62399292,
2016-03-13,414.06500244,
2016-03-14,416.43798828,1244.40002441
2016-03-15,416.82998657,1230.40002441
2016-03-16,417.01098633,1229.30004883
2016-03-17,420.62100220,1264.50000000
2016-03-18,409.54800415,1253.80004883
2016-03-19,410.44400024,
2016-03-20,413.75500488,
2016-03-21,413.30700684,1243.80004883
2016-03-22,418.08898926,1248.19995117
2016-03-23,418.04098511,1223.69995117
2016-03-24,416.39401245,1221.40002441
2016-03-25,417.17700195,
2016-03-26,417.94500732,
2016-03-27,426.76501465,
2016-03-28,424.23098755,1219.90002441
2016-03-29,416.51599121,1235.59997559
2016-03-30,414.81600952,1226.90002441
2016-03-31,416.72900391,1234.19995117
2016-04-01,417.95999146,1222.19995117
2016-04-02,420.87298584,
2016-04-03,420.90399170,
2016-04-04,421.44400024,1218.00000000
2016-04-05,424.02999878,1228.40002441
2016-04-06,423.41299438,1222.50000000
2016-04-07,422.74499512,1236.19995117
2016-04-08,420.34899902,1242.50000000
2016-04-09,419.41101074,
2016-04-10,421.56399536,
2016-04-11,422.48300171,1256.69995117
2016-04-12,425.19000244,1259.40002441
2016-04-13,423.73400879,1246.80004883
2016-04-14,424.28201294,1225.00000000
2016-04-15,429.71301270,1233.09997559
2016-04-16,430.57199097,
2016-04-17,427.39898682,
2016-04-18,428.59100342,1233.59997559
2016-04-19,435.50900269,1253.00000000
2016-04-20,441.38900757,1253.19995117
2016-04-21,449.42498779,1249.00000000
2016-04-22,445.73699951,1228.69995117
2016-04-23,450.28201294,
2016-04-24,458.55499268,
2016-04-25,461.42599487,1238.90002441
2016-04-26,466.08898926,1242.19995117
2016-04-27,444.68701172,1249.19995117
2016-04-28,449.01098633,1265.50000000
2016-04-29,455.09698486,1289.19995117
2016-04-30,448.31799316,
2016-05-01,451.87500000,
2016-05-02,444.66900635,1294.69995117
2016-05-03,450.30398560,1290.69995117
2016-05-04,446.72198486,1273.30004883
2016-05-05,447.97601318,1271.40002441
2016-05-06,459.60299683,1292.90002441
2016-05-07,458.53601074,
2016-05-08,458.54800415,
2016-05-09,460.48300171,1265.59997559
2016-05-10,450.89498901,1263.90002441
2016-05-11,452.72799683,1274.59997559
2016-05-12,454.76599121,1270.30004883
2016-05-13,455.67001343,1271.90002441
2016-05-14,455.67098999,
2016-05-15,457.56799316,
2016-05-16,454.16299438,1273.40002441
2016-05-17,453.78298950,1276.19995117
2016-05-18,454.61898804,1273.69995117
2016-05-19,438.71499634,1254.19995117
2016-05-20,442.67599487,1252.40002441
2016-05-21,443.18798828,
2016-05-22,439.32299805,
2016-05-23,444.15499878,1251.09997559
2016-05-24,445.98098755,1228.90002441
2016-05-25,449.59899902,1223.50000000
2016-05-26,453.38400269,1220.09997559
2016-05-27,473.46398926,1213.80004883
2016-05-28,530.03997803,
2016-05-29,526.23297119,
2016-05-30,533.86401367,
2016-05-31,531.38598633,1214.80004883
2016-06-01,536.91998291,1211.90002441
2016-06-02,537.97198486,1209.80004883
2016-06-03,569.19396973,1240.09997559
2016-06-04,572.72698975,
2016-06-05,574.97698975,
2016-06-06,585.53698730,1244.59997559
2016-06-07,576.59698486,1244.40002441
2016-06-08,581.64501953,1259.80004883
2016-06-09,574.63000488,1270.19995117
2016-06-10,577.46997070,1273.40002441
2016-06-11,606.72698975,
2016-06-12,672.78399658,
2016-06-13,704.37597656,1284.40002441
2016-06-14,685.55902100,1285.59997559
2016-06-15,694.46899414,1285.80004883
2016-06-16,766.30798340,1296.09997559
2016-06-17,748.90899658,1292.50000000
2016-06-18,756.22698975,
2016-06-19,763.78100586,
2016-06-20,737.22601318,1290.00000000
2016-06-21,666.65197754,1270.50000000
2016-06-22,596.11602783,1268.00000000
2016-06-23,623.97698975,1261.19995117
2016-06-24,665.29901123,1320.00000000
2016-06-25,665.12298584,
2016-06-26,629.36700439,
2016-06-27,655.27502441,1322.50000000
2016-06-28,647.00097656,1315.30004883
2016-06-29,639.89001465,1323.90002441
2016-06-30,673.33697510,1318.40002441
2016-07-01,676.29602051,1336.69995117
2016-07-02,703.70202637,
2016-07-03,658.66400146,
2016-07-04,683.66198730,
2016-07-05,670.62701416,1356.40002441
2016-07-06,677.33099365,1364.90002441
2016-07-07,640.56201172,1360.09997559
2016-07-08,666.52301025,1356.59997559
2016-07-09,650.96002197,
2016-07-10,649.35998535,
2016-07-11,647.65899658,1355.00000000
2016-07-12,664.55102539,1334.09997559
2016-07-13,654.46801758,1342.40002441
2016-07-14,658.07800293,1331.30004883
2016-07-15,663.25500488,1326.50000000
